Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,John Wall,PG,HOU,Personal,82,17310/20-4/10,"$44,056,180"
2,Kawhi Leonard,SF,LAC,Knee,82,17210/21-4/10,"$38,892,640"
3,Ben Simmons,PG,PHI,"Personal, Back",80,"16210/22-2/10, 2/10-2/10, 2/12-2/12, 2/14-2/14, 2/16-2/16, 2/17-2/17, 2/24-4/10","$30,727,836"
4,Jamal Murray,PG,DEN,Knee,82,17310/20-4/10,"$29,298,415"
5,Damian Lillard,PG,POR,Abdominal,53,"11011/14-11/14, 11/30-12/11, 1/3-4/10","$24,873,200"
6,Paul George,SG,LAC,"Rest, Elbow, Injury Management",51,"10712/1-12/1, 12/8-12/19, 12/26-3/28, 4/1-4/1, 4/10-4/10","$24,194,840"
7,Klay Thompson,SG,GSW,"Achilles, Injury Management, Knee, Rest, Illness",51,"9810/19-1/8, 1/14-1/14, 1/21-1/21, 1/23-1/24, 2/1-2/1, 2/9-2/9, 2/27-3/2, 3/7-3/7, 3/23-3/23, 3/28-3/28, 4/3-4/3, 4/7-4/7, 4/9-4/9","$21,391,440"
8,Kyrie Irving,PG,BKN,Personal,50,"9510/19-1/4, 1/7-1/9, 1/13-1/13, 1/15-1/15, 1/25-1/25, 1/26-1/26, 2/14-2/14, 2/16-2/16, 2/17-2/17, 2/24-2/24, 2/28-2/28, 3/3-3/3, 3/13-3/13, 3/16-3/16, 3/18-3/18, 3/21-3/21","$19,063,460"
9,Jonathan Isaac,PF,ORL,Knee,82,17310/20-4/10,"$17,300,000"
10,Anthony Davis,C,LAL,"Illness, Knee, Ankle",42,"8411/24-11/25, 12/10-12/14, 12/19-1/24, 1/28-1/29, 2/25-3/31, 4/7-4/10","$17,070,984"
11,Bradley Beal,SG,WAS,"Hip, Personal, Health Protocols, Wrist",42,"8810/22-10/24, 11/13-11/16, 12/23-12/29, 1/11-1/16, 2/1-4/10","$17,055,896"
12,Kevin Durant,SF,BKN,"Shoulder, Rest, Health Protocols, Knee",27,"6211/19-11/21, 12/8-12/8, 12/18-12/29, 1/13-1/13, 1/17-3/2","$14,580,292"
13,Joe Harris,SG,BKN,Ankle,68,14511/16-4/10,"$14,464,330"
14,Markelle Fultz,PG,ORL,"Knee, Injury Management",63,"13510/20-2/27, 3/4-3/4, 3/23-3/25","$12,801,780"
15,Gordon Hayward,SF,CHA,"Back, Foot, Health Protocols, Ankle",33,"7212/20-12/22, 1/23-1/25, 1/26-2/3, 2/9-4/1, 4/5-4/10","$12,382,776"
16,T.J. Warren,SF,IND,"Foot, Health Protocols",82,"16910/20-1/1, 1/2-1/13, 1/17-4/10","$12,325,339"
