PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
A.J. Lawson,DAL,41,26,15,7.5,3282.4,0.62,0.32,0.3,4.62,4.77,4.44
AJ Green,MIL,56,35,21,11,4523.1,0.86,0.45,0.4,4.34,4.72,3.99
AJ Griffin,ATL,20,8,12,8.5,3705.9,0.7,0.37,0.33,4.59,4.77,4.47
Aaron Gordon,DEN,71,47,24,31.6,11871.5,2.25,1.19,1.06,3.99,4.15,3.82
Aaron Holiday,HOU,78,39,39,16.3,6527.7,1.24,0.64,0.59,4.23,4.5,3.97
Aaron Nesmith,IND,72,41,31,27.7,11546.8,2.19,1.14,1.05,4.43,4.76,4.11
Aaron Wiggins,OKC,78,55,23,15.7,6883.1,1.3,0.69,0.61,4.62,5.07,4.2
Adam Flagler,OKC,2,2,0,7,2782.5,0.53,0.3,0.23,4.45,4.9,4.01
Adama Sanogo,CHI,9,3,6,7.3,2892.6,0.55,0.28,0.27,4.14,4.36,3.94
Admiral Schofield,ORL,23,15,8,3.7,1416.7,0.27,0.15,0.12,4.03,4.22,3.82
Al Horford,BOS,64,50,14,26.7,10052.2,1.9,1.01,0.9,4,4.2,3.8
Alec Burks,NYK,66,18,48,18.4,7264.9,1.38,0.74,0.64,4.15,4.37,3.93
Aleksej Pokusevski,CHA,27,13,14,14.7,5937.9,1.12,0.61,0.52,4.31,4.7,3.92
Alex Caruso,CHI,70,34,36,28.6,11891.4,2.25,1.16,1.1,4.43,4.7,4.16
Alex Fudge,DAL,6,1,5,6.7,2814.8,0.53,0.28,0.26,4.38,4.8,3.99
Alex Len,SAC,48,24,24,9.3,3732.5,0.71,0.37,0.34,4.27,4.6,3.96
Alondes Williams,MIA,7,5,2,2.2,947.9,0.18,0.1,0.08,4.48,4.27,4.74
Alperen Sengun,HOU,63,29,34,32.5,11858.5,2.25,1.16,1.08,3.88,4.04,3.73
Amari Bailey,CHA,10,1,9,6.5,2688.1,0.51,0.27,0.24,4.39,4.88,3.95
Amen Thompson,HOU,62,30,32,22.4,9216.3,1.75,0.93,0.82,4.36,4.7,4.04
Amir Coffey,LAC,69,45,24,20.9,7958.5,1.51,0.77,0.74,4.02,4.03,4.02
Andre Drummond,CHI,78,37,41,17.2,6350.6,1.2,0.61,0.59,3.96,4.17,3.76
Andre Jackson Jr.,MIL,57,33,24,10,4614.6,0.87,0.46,0.41,4.81,5.16,4.48
Andrew Funk,CHI,5,3,2,2.7,1062.8,0.2,0.11,0.09,4.09,4.26,3.94
Andrew Nembhard,IND,68,41,27,24.9,10441.8,1.98,1.01,0.97,4.42,4.66,4.21
Andrew Wiggins,GSW,70,38,32,27.1,10552,2,1.07,0.93,4.21,4.53,3.9
Anfernee Simons,POR,45,10,35,34.2,13763.8,2.61,1.46,1.14,4.26,4.71,3.79
Anthony Black,ORL,69,39,30,16.9,6782.2,1.28,0.67,0.61,4.24,4.3,4.2
Anthony Davis,LAL,75,44,31,35.6,12379.5,2.34,1.23,1.11,3.74,3.98,3.51
Anthony Edwards,MIN,79,54,25,35.1,13256.9,2.51,1.38,1.13,3.99,4.34,3.62
Anthony Gill,WAS,50,9,41,9.3,3813.9,0.72,0.37,0.35,4.33,4.83,3.9
Armoni Brooks,BKN,10,3,7,10.4,4212.5,0.8,0.44,0.36,4.41,5.02,3.83
Ashton Hagans,POR,19,3,16,16.6,6953.3,1.32,0.67,0.64,4.41,4.52,4.3
Ausar Thompson,DET,62,10,52,25.4,10564,2,1.03,0.98,4.4,4.59,4.22
Austin Reaves,LAL,81,46,35,32.2,12208.7,2.31,1.25,1.06,4.09,4.44,3.74
Ayo Dosunmu,CHI,75,37,38,29,11552.9,2.19,1.14,1.04,4.32,4.63,4.03
Bam Adebayo,MIA,71,40,31,34,12619.1,2.39,1.28,1.11,3.99,4.28,3.7
Ben Sheppard,IND,57,32,25,14.3,6401.4,1.21,0.64,0.57,4.71,5,4.42
Ben Simmons,BKN,15,7,8,23.9,9183.4,1.74,0.95,0.79,4.08,4.49,3.67
Bennedict Mathurin,IND,59,33,26,26.1,10734.4,2.03,1.07,0.96,4.32,4.63,4.02
Bilal Coulibaly,WAS,63,11,52,27.2,11325,2.14,1.09,1.05,4.41,4.63,4.2
Bismack Biyombo,OKC,40,20,20,19.8,7817.2,1.48,0.8,0.68,4.22,4.49,3.94
Blake Wesley,SAS,60,18,42,14.3,6328.1,1.2,0.64,0.56,4.68,5,4.36
Boban Marjanović,HOU,14,9,5,5.1,1851.1,0.35,0.19,0.16,3.95,4.14,3.76
Bobby Portis,MIL,82,49,33,24.5,9955.5,1.89,0.98,0.9,4.27,4.5,4.05
Bogdan Bogdanović,ATL,79,35,44,30.4,12311.2,2.33,1.27,1.06,4.32,4.79,3.86
Bojan Bogdanović,NYK,57,20,37,25.9,10117.7,1.92,1.05,0.87,4.13,4.49,3.76
Bol Bol,PHX,42,28,14,10.9,4399.3,0.83,0.44,0.39,4.34,4.39,4.28
Bones Hyland,LAC,36,19,17,14.6,5857,1.11,0.62,0.49,4.21,4.46,3.93
Bradley Beal,PHX,52,33,19,33.3,12360.6,2.34,1.27,1.07,4.04,4.28,3.79
Brandin Podziemski,GSW,73,41,32,26.5,11099.6,2.1,1.16,0.94,4.49,4.94,4.04
Brandon Boston,LAC,32,17,15,10.8,4263.3,0.81,0.43,0.38,4.21,4.33,4.07
Brandon Clarke,MEM,6,2,4,22.4,8955,1.7,0.92,0.78,4.26,4.41,4.09
Brandon Ingram,NOP,63,38,25,32.9,12383,2.35,1.3,1.05,3.99,4.4,3.57
Brandon Miller,CHA,73,17,56,32.1,12945.7,2.45,1.33,1.12,4.28,4.6,3.95
Brandon Williams,DAL,17,10,7,6.6,2713.5,0.51,0.28,0.24,4.3,4.73,3.98
Braxton Key,DEN,20,14,6,3,1226.5,0.23,0.13,0.1,4.14,4.64,3.81
Brice Sensabaugh,UTA,31,8,23,17.8,7328.6,1.39,0.74,0.65,4.34,4.48,4.21
Brook Lopez,MIL,79,48,31,30.5,10925.6,2.07,1.07,1,3.8,3.92,3.68
Bruce Brown,TOR,67,26,41,27.8,11238.8,2.13,1.14,0.99,4.26,4.69,3.85
Bruno Fernando,ATL,45,20,25,15.2,5790.8,1.1,0.57,0.53,4.07,4.2,3.93
Bryce McGowens,CHA,59,11,48,14.9,6222.1,1.18,0.63,0.55,4.39,4.57,4.21
Buddy Boeheim,DET,10,0,10,8.4,3331.2,0.63,0.34,0.29,4.36,4.77,3.96
Buddy Hield,PHI,83,45,38,25.8,11446.4,2.17,1.19,0.98,4.69,5.17,4.21
CJ McCollum,NOP,65,42,23,32.8,13364.6,2.53,1.39,1.15,4.33,4.77,3.91
Cade Cunningham,DET,61,9,52,33.5,13269.5,2.51,1.44,1.07,4.19,4.89,3.51
Caleb Houstan,ORL,59,31,28,13.8,5827.1,1.1,0.61,0.49,4.45,4.77,4.1
Caleb Martin,MIA,64,36,28,27.4,11885.4,2.25,1.23,1.02,4.59,4.99,4.17
Cam Reddish,LAL,47,26,21,20.4,8358.3,1.58,0.75,0.83,4.36,4.22,4.5
Cam Thomas,BKN,63,23,40,31.5,12494.7,2.37,1.3,1.07,4.19,4.49,3.88
